L1,L2,L3,Link
TVs & Appliances,Refrigerators,Triple door,"https://www.flipkart.com/home-kitchen/home-appliances/refrigerators/triple-door~type/pr?sid=j9e,abm,hzg&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Triple%20door"
TVs & Appliances,Refrigerators,Side by Side,https://www.flipkart.com/home-kitchen/home-appliances/refrigerators/pr?otracker=categorytree&p%5B%5D=facets.type%255B%255D%3DSide%2Bby%2BSide&sid=j9e%2Fabm%2Fhzg&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Side%20by%20Side
TVs & Appliances,Refrigerators,Convertible,https://www.flipkart.com/search?p%5B%5D%5B%5D=facets.features%255B%255D%3DConvertible&sid=j9e%2Fabm%2Fhzg&otracker=CLP_filters&p%5B%5D=facets.features%255B%255D%3DConvertible&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Convertible
TVs & Appliances,Kitchen Appliances,Microwave Ovens,https://www.flipkart.com/home-kitchen/kitchen-appliances/microwave-ovens?otracker=nmenu_sub_Appliances_0_Microwave%20Ovens&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Microwave%20Ovens
TVs & Appliances,Kitchen Appliances,Oven Toaster Grills (OTG),https://www.flipkart.com/oven-toaster-grills/pr?sid=j9e%2Cm38%2Cvr5&otracker=product_breadCrumbs_Oven%20Toaster%20Grills&otracker=nmenu_sub_Appliances_0_Oven%20Toaster%20Grills&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Oven%20Toaster%20Grills%20(OTG)
TVs & Appliances,Kitchen Appliances,Juicer/Mixer/Grinder,https://www.flipkart.com/mixerjuicergrinders/pr?sid=j9e%2Cm38%2C7ek&otracker=nmenu_sub_Appliances_0_Mixer%2FJuicer%2FGrinder&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Juicer%2FMixer%2FGrinder
TVs & Appliances,Kitchen Appliances,Electric Kettle,https://www.flipkart.com/electric-jugheatertravel-kettles/pr?sid=j9e%2Cm38%2Cxrv&otracker=nmenu_sub_Appliances_0_Electric%20Kettle&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Electric%20Kettle
TVs & Appliances,Kitchen Appliances,Induction Cooktops,https://www.flipkart.com/induction-cooktops/pr?sid=j9e%2Cm38%2C575&otracker=nmenu_sub_Appliances_0_Induction%20Cooktops&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Induction%20Cooktops
TVs & Appliances,Kitchen Appliances,Chimneys,https://www.flipkart.com/chimneys-store?otracker=nmenu_sub_TVs%20and%20Appliances_0_Chimneys&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Chimneys
TVs & Appliances,Kitchen Appliances,Hand Blenders,https://www.flipkart.com/hand-blenders/pr?sid=j9e%2Cm38%2Cu7m&otracker=nmenu_sub_Appliances_0_Hand%20Blender&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Hand%20Blenders
TVs & Appliances,Kitchen Appliances,Sandwich Makers,https://www.flipkart.com/sandwich-makers/pr?sid=j9e%2Cm38%2C1vj&otracker=nmenu_sub_Appliances_0_Sandwich%20Makers&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Sandwich%20Makers
TVs & Appliances,Kitchen Appliances,Pop Up Toasters,"https://www.flipkart.com/home-kitchen/kitchen-appliances/popup-toasters/pr?sid=j9e,m38,txh&otracker=categorytree&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Pop%20Up%20Toasters"
TVs & Appliances,Kitchen Appliances,Electric Cookers,"https://www.flipkart.com/home-kitchen/kitchen-appliances/electric-cookers/pr?sid=j9e,m38,9m9&otracker=nmenu_sub_Appliances_0_Electric%20Cookers&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Electric%20Cookers"
TVs & Appliances,Kitchen Appliances,Wet Grinders,"https://www.flipkart.com/home-kitchen/kitchen-appliances/wet-grinders/pr?sid=j9e,m38,htd&otracker=categorytree&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Wet%20Grinders"
TVs & Appliances,Kitchen Appliances,Food Processors,https://www.flipkart.com/food-processors/pr?sid=j9e%2Cm38%2Crj3&otracker=nmenu_sub_Appliances_0_Food%20Processors&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Food%20Processors
TVs & Appliances,Kitchen Appliances,Coffee Makers,"https://www.flipkart.com/home-kitchen/kitchen-appliances/coffee-makers/pr?sid=j9e,m38,wqo&otracker=nmenu_sub_Appliances_0_Coffee%20Makers&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Coffee%20Makers"
TVs & Appliances,Kitchen Appliances,Dishwashers,https://www.flipkart.com/dishwasher-store?otracker=nmenu_sub_Appliances_0_Dishwashers&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Dishwashers
TVs & Appliances,Small Home Appliances,Irons,https://www.flipkart.com/iron/pr?sid=j9e%2Cabm%2Ca0u&otracker=nmenu_sub_Appliances_0_Irons&otracker=nmenu_sub_Appliances_0_Irons&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Irons
TVs & Appliances,Small Home Appliances,Water Purifiers,https://www.flipkart.com/water-purifiers/pr?sid=j9e%2Cabm%2Ci45&otracker=nmenu_sub_Appliances_0_Water%20Purifiers&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Water%20Purifiers
TVs & Appliances,Small Home Appliances,Fans,"https://www.flipkart.com/home-kitchen/home-appliances/fans/pr?sid=j9e,abm,lbz&otracker=categorytree&otracker=nmenu_sub_TVs%20%26%20Appliances_0_Fans"
